,mean training,mean test,std training,std test
radius,47.951483205159505,53.4730132039388,7.531473238771345,6.78459995738346
depth,174.61024877888218,188.98303299878037,27.567613206536386,30.444290068845362
both,111.28086599202084,121.22802310135963,16.44946634201847,17.161874868869585
