,MAE training,MAE test,RMSE training,RMSE test,MAE R training,MAE R test,MAE H training,MAE H test,RMSE R training,RMSE R test,RMSE H training,RMSE H test
2,88.81617438197135,113.42228189468383,161.80602415551746,205.5678695671259,46.307518310546875,58.56618103027344,131.32483045339583,168.27838275909423,63.025201909226816,82.7515544478239,219.97773257839754,278.6906497053725
3,102.65642883241176,109.32125391960145,192.04412904264694,218.1869621341042,42.81236434936523,51.693804321289065,162.5004933154583,166.94870351791383,57.49253765163815,70.42770848176085,265.43643893382966,300.41810659250575
4,120.22674713313579,126.57383369565011,224.43149516503203,227.06209470713668,53.11605590820312,59.481448364257815,187.33743835806845,193.6662190270424,70.52199563496053,80.26567310008087,309.4602400562732,310.9209086365476
5,135.10646401405336,152.4549387550354,246.3821775838098,282.0789543302801,55.78087905883789,59.302230224609374,214.4320489692688,245.60764728546144,75.34468008026734,81.81218880077742,340.19337742743056,390.44057001771006
6,106.89800728440284,113.80799366950988,198.20274011776968,209.07095367908576,44.56138412475586,49.92903259277344,169.23463044404983,177.68695474624633,60.686098792548144,69.20384374674695,273.65279058274814,287.45809321576024
7,112.270406960845,102.85175613880158,204.04283255393358,181.78255984964113,56.14357086181641,53.573163452148435,168.39724305987357,152.13034882545472,72.14103580752591,70.08174470658086,279.3968968794794,247.34257051680035
8,119.8792720220983,111.00268068313598,213.2097130166414,211.86584907174517,59.502155456542965,58.8989453125,180.25638858765365,163.10641605377197,81.329485563387,84.08700047248453,290.3485461084179,287.5824270662646
9,106.12302736803889,108.20026657104492,202.2174366090262,197.02508891566583,46.1185090637207,49.403994140625,166.1275456723571,166.99653900146484,63.86612808545588,67.4192642406629,278.7559883138357,270.3560876579252
10,106.61637439489364,124.30239688873291,208.941503926753,239.53712682533126,40.66627670288086,49.28993530273438,172.56647208690643,199.31485847473144,56.65473758973604,68.92951008956099,290.0057668995307,331.66970451683216
11,118.14488254889847,128.71115552902222,224.57944334597116,238.76550498217205,47.59914321899414,51.892423706054686,188.69062187880277,205.52988735198974,65.94485924785553,75.09191440090325,310.6817154033258,329.20986791162665
12,104.65841686964035,121.92427600860596,202.84621610113882,236.85951214361546,43.11710998535156,43.7703662109375,166.19972375392913,200.0781858062744,62.20613612462247,62.937518571330735,280.04208862516504,329.0041424388248
13,127.61658665060997,142.29636501729487,236.35681355543352,255.85980364829254,46.679051361083985,49.00939208984375,208.55412194013596,235.583337944746,63.095466867583625,67.23479605369477,328.24997896255474,355.53897176751764
14,96.98141542077065,104.07141792297364,182.63018540049714,192.21104199856393,41.92014053344727,50.42989868164062,152.04269030809402,157.71293716430665,58.65654946879501,73.4244442926147,251.52927949496217,261.72317496291413
15,127.41196300387382,130.92521792411804,237.0522166701317,250.74458189552766,47.623001403808594,53.55582275390625,207.20092460393906,208.29461309432983,63.38040288942785,71.6986960479255,329.1966454659282,347.2822881820395
16,99.08801464080811,123.0715071606636,191.13505243002814,238.08117938946904,39.6834538269043,44.74929443359375,158.49257545471193,201.39371988773345,55.203898458343396,58.81124308298532,264.6086660142864,331.52154326075873
