,mean training,mean test,std training,std test
radius,70.94401538594563,75.78179750569662,42.45936743325687,43.69941380180997
depth,256.3516775600202,263.37833307346705,189.66701244383307,180.92764627371727
both,163.64784647298296,169.5800652895818,115.58093835125092,111.88345880215338
