,MAE training,MAE test,RMSE training,RMSE test,MAE R training,MAE R test,MAE H training,MAE H test,RMSE R training,RMSE R test,RMSE H training,RMSE H test
0,350.0922590768337,370.32664479255675,586.9919984851134,597.3840627833519,134.81568756103516,147.1667510986328,565.3688305926323,593.4865384864808,180.27606001660646,224.94537114302437,810.3207727535957,814.3310241765412
1,92.04714095592499,95.85882724761963,138.9080534263754,145.6781278650049,52.5367610168457,57.80797790527344,131.55752089500427,133.9096765899658,60.45582456074864,66.60581176504883,186.91171148456567,194.95614818626348
2,88.01095349110663,103.24264965295792,156.18502933414345,182.26178375327413,51.33365020751953,57.194902954101565,124.68825677469373,149.29039635181428,60.93597449717791,67.93058430736752,212.30716848070344,248.64462863595136
3,80.71528799533844,87.47009447097778,141.83534048600913,144.54331898676568,39.69762130737305,42.948797607421874,121.73295468330383,131.9913913345337,53.167670119495426,57.127658063145354,193.4107713536886,196.27015262550782
4,117.5492750172317,126.09039294719696,172.1088412766608,194.01963210453178,46.51745376586914,47.14938781738281,188.5810962685943,205.03139807701112,58.84311833810883,61.38244942995478,236.1787329871955,267.43116906212487
5,111.4224511063099,129.5357925653458,195.11909805339596,217.87037566656846,49.856033172607425,60.362109985351566,172.98886904001236,198.70947514533998,68.50950448001552,80.56516248528229,267.3001545945013,297.39578978173756
6,373.9549839243293,360.45969822764397,609.4450074658592,586.2697493778331,144.3526887512207,146.57988525390624,603.5572790974379,574.3395112013817,200.04226916717937,205.4184921829981,838.3492856778545,803.2606557901104
7,113.84305217415094,125.55806828796864,202.70183072696884,218.3794251719679,49.270352325439454,55.90968872070312,178.41575202286242,195.20644785523416,66.10821653692597,78.94058839283517,278.93685318802244,298.57583656597404
8,375.29677366852763,415.30378854751586,593.0169226443319,643.266730823017,162.049871673584,172.07621337890626,588.5436756634713,658.5313637161255,207.5517934304996,213.03770998275277,812.5640861672948,884.420210133604
9,97.0103726220131,105.49350558280946,177.44235273322656,196.3167395802292,57.06078582763672,61.28370849609375,136.95995941638947,149.70330266952516,68.45923939057401,75.11178240357496,241.4226783652889,267.28027353881
10,87.75321989059448,102.5284435749054,163.46447339121946,194.00443809694914,39.88811752319336,48.30627258300781,135.6183222579956,156.75061456680297,56.767711099800124,68.31566685637765,224.09528129487038,265.72243726225753
11,76.84564502716064,86.3040749168396,136.38351366334084,167.80420219989253,43.475252075195314,48.0257080078125,110.21603797912597,124.5824418258667,55.2934297380193,63.52587035528624,184.77976682019082,228.65031018454405
12,138.91606830596925,147.57307504653932,228.10782764981616,250.07136509660359,56.55740036010742,61.59486328125,221.27473625183106,233.55128681182862,70.20342095903138,77.31648074446913,314.8616231868938,345.09931481799225
13,99.14855280309915,92.33439601898193,169.76871619757836,158.85059423996992,47.35649398803711,46.372366943359374,150.9406116181612,138.2964250946045,60.31284526199676,62.405353400329,232.39017770798816,215.80684522916133
14,84.96450348377228,97.9332392501831,156.75926459940354,185.34251313682057,41.83178756713867,44.446944580078124,128.0972194004059,151.41953392028807,54.85554694555627,57.4924455954928,214.7971206622554,255.73093878370355
15,78.1465005850792,78.14976039886474,143.6829861184858,139.1222317209471,39.611564788818356,41.55193176269531,116.68143638134002,114.74758903503418,54.51688095321625,61.47359540260051,195.74859052106305,186.89833542948202
