,MAE training,MAE test,RMSE training,RMSE test,MAE R training,MAE R test,MAE H training,MAE H test,RMSE R training,RMSE R test,RMSE H training,RMSE H test
0,137.6907516026497,136.70327212333677,248.9194813532195,243.1921060934732,60.69604232788086,63.833343505859375,214.6854608774185,209.5732007408142,79.24523241938252,83.6674890800332,342.98980966365417,333.59339352481305
1,156.3437150335312,165.70301901489498,293.4917634221682,299.36120454185624,58.780438079833985,69.0083642578125,253.9069919872284,262.39767377197745,78.24572584691384,106.70178295190944,407.61800350327707,409.69377720974205
2,115.27629435099661,119.50872526168823,225.44264811626627,222.16790650287413,50.9363117980957,58.702317504882814,179.61627690389753,180.31513301849364,69.64967081631042,78.63039666432336,311.123285105003,304.19470422765545
3,120.14692797422408,118.79625288009643,226.25240251740394,222.96404487118645,56.02147674560547,56.779482421875,184.2723792028427,180.81302333831786,75.05115700836994,74.9532125178606,311.0427995011295,306.2808295402984
4,120.5156266760826,109.47028053283692,227.4309009203772,205.02427846614896,51.34239120483399,49.22144653320313,189.68886214733124,169.71911453247074,69.50429067686959,65.2157696105387,314.03627651023714,282.51869480661827
5,122.08416145516094,134.17932871341705,230.0901574121588,243.44837852072158,56.218776092529296,66.84079528808594,187.94954681779257,201.51786213874817,76.13435553444985,88.6944183307515,316.3645381253374,332.6672904956343
6,101.12128490120172,117.90606092453004,196.22306157127116,211.8724927499257,43.19373336791992,53.89214538574219,159.04883643448352,181.91997646331788,60.75472759058392,77.99224728234222,270.76898430248565,289.3045380425005
7,97.22791921019554,107.89540121078491,187.98254930194614,215.35259289497733,43.50023910522461,50.43453918457031,150.95559931516647,165.35626323699952,60.59326908893818,75.07355423471544,258.85002110340423,295.1566363606737
8,117.5883127400279,117.80049281120301,223.4683574625014,237.49718762470744,43.76185607910156,48.78305114746094,191.41476940095424,186.81793447494508,59.15648454919174,69.40613228446082,310.44600804287677,328.6223015265441
9,113.63521247163415,126.70402497768401,209.1010504045946,242.42356548811597,42.38143753051758,48.97328186035156,184.8889874127507,204.43476809501647,58.561064164346604,67.34426862561061,289.85703428509197,336.1593665082431
10,128.37542060524225,128.80111925125124,237.46607793293796,249.74981969412104,51.51455108642578,55.22256103515625,205.2362901240587,202.3796774673462,70.3361654701281,78.39377240616068,328.3795063104018,344.38983916838055
11,136.17903039120137,128.81826493620872,255.74088793338066,230.9513224823529,45.216039123535154,47.64486633300781,227.1420216588676,209.99166353940964,62.32314952102857,64.17544615781935,356.2620223314401,320.24762110457647
12,121.5020621791482,132.19120822906493,246.43761664293953,236.2365499964763,44.890091552734376,43.288692016601566,198.11403280556203,221.0937244415283,62.08482351428149,57.22332353617092,342.9409168975109,329.15179834226933
13,126.39497468821705,128.52542093753814,230.20337212236953,253.50630187940175,61.028690338134766,68.93635986328125,191.76125903829933,188.11448201179505,80.92157617341495,92.28526164399038,315.3393149967675,346.43083100157384
14,95.76441797494888,96.17703224420546,184.2647534678796,186.77988103122246,46.053062744140625,47.84530700683594,145.47577320575715,144.508757481575,63.18824253306918,66.38882466221513,252.8126672988103,255.66769814750725
15,154.22138218402864,182.8525707626343,287.86744718006753,360.90875047268577,53.358879241943356,54.98848999023438,255.0838851261139,310.7166515350342,72.87765660148806,78.09344186453957,400.52987586472693,504.3923737263091
16,149.17035823479296,153.48814093828202,270.46045197338066,283.01613105511655,61.76564254760742,71.47783325195313,236.5750739219785,235.49844862461086,83.66666846396213,105.53372279292273,373.22593794032093,386.0814606119807
