,mean training,mean test,std training,std test
radius,51.55577485656738,56.42104970296224,6.074348913807599,7.212660751141597
depth,203.39187602871561,214.24159717565777,27.8280798651325,37.06769315161204
both,127.47382544264151,135.33132343931,15.656939943734935,19.87249532207601
