,mean training,mean test,std training,std test
radius,38.62746228027344,52.36782208251953,2.2330659306662533,4.768457226703101
depth,131.97494187098616,159.79035633520286,8.904092297389198,19.464847710596274
both,85.30120207562979,106.07908920886118,5.246717600924405,11.625461484162763
