,mean training,mean test,std training,std test
radius,91.43256282552082,100.05358162434895,30.055252576271798,34.3345813183585
depth,405.97514980040984,424.374399461766,116.60250020367017,134.1662557884315
both,248.70385631296537,262.21399054305755,72.44161507066124,82.91340280856535
