,mean training,mean test,std training,std test
radius,28.321462209065754,39.26208477783203,3.796120491381815,4.800072194619269
depth,77.4765895601809,101.83825484669208,11.40518431644396,11.869578070626625
both,52.89902588462332,70.55016981226206,7.042982096242983,7.14653462923756
