,MAE training,MAE test,RMSE training,RMSE test,MAE R training,MAE R test,MAE H training,MAE H test,RMSE R training,RMSE R test,RMSE H training,RMSE H test
1,242.94917555898428,282.0275708961487,444.5161213935159,484.5237377277634,84.1484407043457,89.07741516113282,401.74991041362284,474.97772663116456,111.63718634373727,120.50418688276544,618.6487719075535,674.5407665864892
2,325.56749175846574,368.9418513524532,553.1415735797561,627.0494453365409,120.21776489257813,126.52641418457031,530.9172186243534,611.3572885203362,159.61520798007606,172.2951439648294,765.8029682797364,869.8829790034208
3,271.21908891141413,300.25489643216133,486.3052204223407,523.1386557717592,83.6423764038086,96.99329772949218,458.7958014190197,503.51649513483045,112.63057092922406,128.70338125209943,678.4540436258009,728.5489317675533
4,342.954873303473,352.2112023401261,577.397462672143,557.9979578757175,134.25911514282225,135.5139288330078,551.6506314641238,568.9084758472443,185.4921139759954,196.71352418490113,795.2159049297079,764.2167437250368
5,167.45717936098575,185.43879011154175,296.47372269142846,339.1697874587488,80.46416549682617,92.7425341796875,254.45019322514534,278.135046043396,105.53471716171748,129.20720606903444,405.7779688039069,461.9283357291039
6,182.62095908463,165.4084359395504,331.1134422229412,261.872541471907,75.12709167480469,83.17151184082032,290.1148264944553,247.6453600382805,101.2873052576876,103.72864299065348,457.17951073411655,355.52049811119025
7,188.38602969497444,174.62254662156107,334.95079860486567,295.7040629789017,63.05485824584961,63.50149963378906,313.71720114409925,285.74359360933306,85.12657134407975,84.69838565365374,465.98019466848166,409.5216345837243
8,201.13157299578188,208.03372961044312,378.04331398623356,376.8192515454183,58.4700569152832,66.6054473876953,343.7930890762806,349.4620118331909,79.28773507214646,90.69381860881127,528.7219964844641,525.1286775035719
9,348.8282132506371,364.47290065765384,585.4145633298431,603.0679149987379,134.88641784667968,147.876982421875,562.7700086545944,581.0688188934326,185.4445952314485,210.42944093060746,806.8647495192654,826.4994074961469
10,140.91590205460787,154.97054035186767,257.31625552592317,285.2900820887131,60.42091567993164,69.14888000488281,221.41088842928409,240.79220069885253,82.13616253087203,93.81420439665084,354.50946605198936,392.40254449964107
11,187.98106284618376,212.15669399261475,347.5005383368885,380.2973385239419,64.7967236328125,75.63683471679687,311.16540205955505,348.6765532684326,86.68267002699602,101.1245623216401,483.73480648579135,528.2290736716828
12,360.08334316313267,400.3160622167587,585.2315090791118,660.0553112363839,141.63682067871093,159.9889422607422,578.5298656475544,640.6431821727753,195.51183932451573,235.27582143432457,804.2182285437048,903.3223763591395
