,running times
0,87.60359311103821
1,88.794184923172
2,97.64830017089844
3,122.17518997192383
4,87.35469317436218
5,119.23697543144226
6,94.09411001205444
7,106.55685758590698
8,99.74688720703125
9,114.18061208724976
10,104.04537916183472
11,117.95008659362793
12,126.5192334651947
13,123.9771773815155
14,165.83414578437805
15,137.91671681404114
16,164.63959050178528
17,156.92876029014587
18,131.57189559936523
19,166.01047253608704
20,181.30268716812134
21,96.80218195915222
22,135.48747372627258
23,255.4204559326172
24,228.60168862342834
25,161.39051127433777
26,228.52339458465576
27,157.77342200279236
28,213.91673588752747
29,219.27649784088135
